pl_name,pl_rade,pl_bmasse,pl_orbsmax,pl_orbper,pl_insol,pl_eqt,pl_orbeccen,st_teff,st_rad,st_mass
55 Cnc e,1.875,7.99,0.01544,0.7365474,2657.8322,1958.0,0.05,5172.0,0.943,0.905
AU Mic b,3.95677019,20.12,0.0649,8.46308,21.2,600.0,0.00577,3678.0,0.744,0.51
AU Mic c,2.52202066,9.6,0.1108,18.85969,7.3,459.0,0.00338,3678.0,0.744,0.51
BD-14 3065 b,21.59,3932.0,0.0656,4.2889731,646.761,2001.0,0.066,6935.0,2.35,1.41
Barnard b,0.72,0.299,0.0229,3.1542,6.76,438.0,0.03,3195.0,0.185,0.162
CD Cet b,1.82,3.95,0.0185,2.2907,8.6,464.0,,3130.0,0.175,0.161
CoRoT-1 b,16.7,327.35,0.02752,1.5089557,2852.63,1898.0,0.0,5950.0,1.11,0.95
CoRoT-10 b,10.87,874.0,0.1055,13.2406,16.1089,600.0,0.53,5075.0,0.79,0.89
CoRoT-11 b,16.03,740.51,0.0436,2.99433,1890.649,1657.0,0.0,6440.0,1.37,1.27
CoRoT-12 b,16.14,291.438,0.04016,2.828042,661.1334,1442.0,0.07,5675.0,1.116,1.078
CoRoT-13 b,9.92,415.704,0.051,4.03519,546.5339,1700.0,0.0,5945.0,1.01,1.09
CoRoT-18 b,14.68,1102.82,0.0295,1.9000693,823.7009,1550.0,0.08,5440.0,1.0,0.95
CoRoT-19 b,14.46,352.78,0.0518,3.89713,1103.809,2000.0,0.047,6090.0,1.65,1.21
CoRoT-2 b,16.432,1102.82,0.02798,1.7429935,932.9076,1521.0,0.0143,5625.0,0.906,0.96
CoRoT-20 b,9.41556,1366.669,0.09,9.24285,180.8704,1024.0,0.59,5880.0,1.02,1.14
CoRoT-32 b,6.38913,47.6745,0.071,6.71837,132.26,938.0,,5970.0,0.79,1.08
CoRoT-4 b,13.34,228.83,0.09,9.20205,203.9517,1074.0,0.0,6190.0,1.17,1.16
CoRoT-5 b,15.558,148.42,0.04947,4.0378962,786.2949,1438.0,0.09,6100.0,1.186,1.0
EPIC 201595106 b,1.565,7.67,0.0177,0.87724,2852.0,2038.0,0.0,5679.0,0.98,0.958
EPIC 211822797 b,1.92,4.35,0.1195,21.1701963,3.5,431.0,0.06,4057.0,0.58,0.62
EPIC 211945201 b,5.76,11.0,0.1493,19.49221,101.0,817.0,0.0,6069.0,1.39,1.17
EPIC 220674823 b,1.676,7.8,0.01314,0.5713127,4656.0,2299.0,0.0,5578.0,0.99,0.913
EPIC 220674823 c,2.84,7.32,0.1073,13.33989,70.0,804.0,0.17,5578.0,0.99,0.913
EPIC 229004835 b,2.332,10.4,0.1237,16.141132,69.7,804.0,0.23,5868.0,0.999,0.97
EPIC 246851721 b,11.780659,953.49,0.07229,6.180235,642.0,1401.0,,6202.0,1.586,1.317
EPIC 248847494 b,12.44199,4131.79,4.5,3650.0,0.19,183.0,0.0,4898.0,2.7,0.9
EPIC 249893012 b,1.95,8.75,0.047,3.5951,1037.0,1616.0,0.06,5430.0,1.71,1.05
EPIC 249893012 c,3.67,14.67,0.13,15.624,160.0,990.0,0.07,5430.0,1.71,1.05
EPIC 249893012 d,3.94,10.18,0.22,35.747,53.0,752.0,0.15,5430.0,1.71,1.05
G 192-15 b,1.02,1.03,0.01723,2.27476,7.06,453.6,0.0,2999.0,0.170718,0.132
G 192-15 c,3.87,14.3,1.137,1219.0,0.0016,55.9,0.676,2999.0,0.170718,0.132
G 261-6 b,1.1,1.37,0.02971,5.4536,1.8,322.3,0.0,2907.0,0.153162,0.118
G 264-012 b,1.39,2.5,0.02279,2.30538,20.5,587.0,,3326.0,0.305,0.297
G 264-012 c,1.76,3.75,0.0525,8.0518,3.87,387.0,,3326.0,0.305,0.297
G 268-110 b,1.13,1.52,0.01283,1.43263,13.57,534.0,0.0,,0.177,0.137
G 9-40 b,1.9,4.0,0.0418,5.7459982,6.27,440.6,0.0,3395.0,0.3026,0.2952
GJ 1002 b,1.03,1.08,0.0457,10.3465,0.67,230.9,,3024.0,0.137,0.12
GJ 1002 c,1.1,1.36,0.0738,21.202,0.257,181.7,,3024.0,0.137,0.12
